,id,texts,neg,neu,pos,compound
83,1380152218423324684,RT @GazetteNGR: NITT to produce Nigeria’s first electric vehicle https://t.co/KZ9eDlRcP4,0.0,1.0,0.0,0.0
84,1380152180649435136,"Esta SUV del segmento B viene con motor 1.0L Turbo y sistema MHEV (Mild Hybrid Electric Vehicle) de 48V. #intenz 

https://t.co/2Rx9yudZCY",0.0,1.0,0.0,0.0
85,1380151950499545095,RT @RichieMerzian: Victorian focus group backs ban on sale of petrol cars by 2030 as part of electric vehicle push in @theage by @perkinsmi…,0.179,0.821,0.0,-0.5859
86,1380151897693257731,"RT @Vlajournaliste: US market share of plug-in EV sales is only 1/3 the size of the Chinese EV market, according to the $2 trillion America…",0.0,0.916,0.084,0.296
87,1380151883168366592,"RT @Vlajournaliste: US market share of plug-in EV sales is only 1/3 the size of the Chinese EV market, according to the $2 trillion America…",0.0,0.916,0.084,0.296
88,1380151828684374018,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
89,1380151818903113728,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
90,1380151764213755911,"Blink $BLNK a leading owner, operator, and provider of electric vehicle (EV) charging equipment and services, announced the upcoming deployment of 42 charging ports at ten Four Brothers Pizza Inn (Four Brothers) locations across New York.",0.0,1.0,0.0,0.0
91,1380151530838499331,"RT @rgatess: So many creative win-win opportunities arise with green renewable solutions! Besides shade for cyclists, these kinds highway m…",0.0,0.686,0.314,0.7763
92,1380151460223188997,"RT @PepMalagrava: 🅿️🔋Aparcaments amb fotovoltaica a sobre i punt de recàrrega. Projectes d'autoconsum i foment del vehicle elèctric, dos ei…",0.0,1.0,0.0,0.0
93,1380151446490976264,"RT @revrrlewis: Fox News: Electric vehicles are dumb. Nobody wants them, they're too expensive, they get no mileage, and there's nowhere to…",0.216,0.784,0.0,-0.6705
94,1380151133797240832,"RT @GratomicInc: Gratomic Intends to Fully Power its Aukam Processing Facility Through Solar Energy by 2022

Click the link to view the ful…",0.0,0.913,0.087,0.2732
